date,activity,index,Activity,weekend
2020-02-15,Retail and Recreation,0.095,Retail and Recreation,TRUE
2020-02-15,Workplace,0.01,Workplace,TRUE
2020-02-15,Residential,-0.01,Residential,TRUE
2020-02-16,Retail and Recreation,0.08,Retail and Recreation,TRUE
2020-02-16,Workplace,0.01,Workplace,TRUE
2020-02-16,Residential,-0.01,Residential,TRUE
2020-02-17,Retail and Recreation,0.03,Retail and Recreation,FALSE
2020-02-17,Workplace,-0.09,Workplace,FALSE
2020-02-17,Residential,0.03,Residential,FALSE
2020-02-18,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-02-18,Workplace,0.01,Workplace,FALSE
2020-02-18,Residential,0,Residential,FALSE
2020-02-19,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-02-19,Workplace,0.02,Workplace,FALSE
2020-02-19,Residential,0,Residential,FALSE
2020-02-20,Retail and Recreation,0.03,Retail and Recreation,FALSE
2020-02-20,Workplace,0.01,Workplace,FALSE
2020-02-20,Residential,0,Residential,FALSE
2020-02-21,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-02-21,Workplace,0.02,Workplace,FALSE
2020-02-21,Residential,0,Residential,FALSE
2020-02-22,Retail and Recreation,0.13,Retail and Recreation,TRUE
2020-02-22,Workplace,0.04,Workplace,TRUE
2020-02-22,Residential,-0.02,Residential,TRUE
2020-02-23,Retail and Recreation,0.09,Retail and Recreation,TRUE
2020-02-23,Workplace,0.04,Workplace,TRUE
2020-02-23,Residential,-0.01,Residential,TRUE
2020-02-24,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-02-24,Workplace,0.02,Workplace,FALSE
2020-02-24,Residential,0.01,Residential,FALSE
2020-02-25,Retail and Recreation,0.04,Retail and Recreation,FALSE
2020-02-25,Workplace,0.02,Workplace,FALSE
2020-02-25,Residential,0,Residential,FALSE
2020-02-26,Retail and Recreation,0.01,Retail and Recreation,FALSE
2020-02-26,Workplace,0,Workplace,FALSE
2020-02-26,Residential,0.01,Residential,FALSE
2020-02-27,Retail and Recreation,0.08,Retail and Recreation,FALSE
2020-02-27,Workplace,0,Workplace,FALSE
2020-02-27,Residential,0.01,Residential,FALSE
2020-02-28,Retail and Recreation,0.07,Retail and Recreation,FALSE
2020-02-28,Workplace,0.01,Workplace,FALSE
2020-02-28,Residential,-0.01,Residential,FALSE
2020-02-29,Retail and Recreation,0.18,Retail and Recreation,TRUE
2020-02-29,Workplace,0.03,Workplace,TRUE
2020-02-29,Residential,-0.03,Residential,TRUE
2020-03-01,Retail and Recreation,0.2,Retail and Recreation,TRUE
2020-03-01,Workplace,0.04,Workplace,TRUE
2020-03-01,Residential,-0.02,Residential,TRUE
2020-03-02,Retail and Recreation,0.1,Retail and Recreation,FALSE
2020-03-02,Workplace,0.03,Workplace,FALSE
2020-03-02,Residential,0,Residential,FALSE
2020-03-03,Retail and Recreation,0.17,Retail and Recreation,FALSE
2020-03-03,Workplace,0.02,Workplace,FALSE
2020-03-03,Residential,-0.01,Residential,FALSE
2020-03-04,Retail and Recreation,0.15,Retail and Recreation,FALSE
2020-03-04,Workplace,0.02,Workplace,FALSE
2020-03-04,Residential,-0.01,Residential,FALSE
2020-03-05,Retail and Recreation,0.14,Retail and Recreation,FALSE
2020-03-05,Workplace,0.02,Workplace,FALSE
2020-03-05,Residential,-0.01,Residential,FALSE
2020-03-06,Retail and Recreation,0.05,Retail and Recreation,FALSE
2020-03-06,Workplace,0.01,Workplace,FALSE
2020-03-06,Residential,0,Residential,FALSE
2020-03-07,Retail and Recreation,0.18,Retail and Recreation,TRUE
2020-03-07,Workplace,0.04,Workplace,TRUE
2020-03-07,Residential,-0.03,Residential,TRUE
2020-03-08,Retail and Recreation,0.16,Retail and Recreation,TRUE
2020-03-08,Workplace,0.03,Workplace,TRUE
2020-03-08,Residential,-0.02,Residential,TRUE
2020-03-09,Retail and Recreation,0.1,Retail and Recreation,FALSE
2020-03-09,Workplace,0.02,Workplace,FALSE
2020-03-09,Residential,0,Residential,FALSE
2020-03-10,Retail and Recreation,0.08,Retail and Recreation,FALSE
2020-03-10,Workplace,0,Workplace,FALSE
2020-03-10,Residential,0,Residential,FALSE
2020-03-11,Retail and Recreation,0.1,Retail and Recreation,FALSE
2020-03-11,Workplace,0.01,Workplace,FALSE
2020-03-11,Residential,0,Residential,FALSE
2020-03-12,Retail and Recreation,0.09,Retail and Recreation,FALSE
2020-03-12,Workplace,0,Workplace,FALSE
2020-03-12,Residential,0,Residential,FALSE
2020-03-13,Retail and Recreation,0.09,Retail and Recreation,FALSE
2020-03-13,Workplace,-0.01,Workplace,FALSE
2020-03-13,Residential,0,Residential,FALSE
2020-03-14,Retail and Recreation,-0.09,Retail and Recreation,TRUE
2020-03-14,Workplace,-0.015,Workplace,TRUE
2020-03-14,Residential,0.03,Residential,TRUE
2020-03-15,Retail and Recreation,-0.07,Retail and Recreation,TRUE
2020-03-15,Workplace,-0.05,Workplace,TRUE
2020-03-15,Residential,0.02,Residential,TRUE
2020-03-16,Retail and Recreation,-0.01,Retail and Recreation,FALSE
2020-03-16,Workplace,-0.12,Workplace,FALSE
2020-03-16,Residential,0.05,Residential,FALSE
2020-03-17,Retail and Recreation,-0.175,Retail and Recreation,FALSE
2020-03-17,Workplace,-0.18,Workplace,FALSE
2020-03-17,Residential,0.07,Residential,FALSE
2020-03-18,Retail and Recreation,-0.25,Retail and Recreation,FALSE
2020-03-18,Workplace,-0.21,Workplace,FALSE
2020-03-18,Residential,0.1,Residential,FALSE
2020-03-19,Retail and Recreation,-0.255,Retail and Recreation,FALSE
2020-03-19,Workplace,-0.24,Workplace,FALSE
2020-03-19,Residential,0.11,Residential,FALSE
2020-03-20,Retail and Recreation,-0.28,Retail and Recreation,FALSE
2020-03-20,Workplace,-0.27,Workplace,FALSE
2020-03-20,Residential,0.13,Residential,FALSE
2020-03-21,Retail and Recreation,-0.435,Retail and Recreation,TRUE
2020-03-21,Workplace,-0.24,Workplace,TRUE
2020-03-21,Residential,0.1,Residential,TRUE
2020-03-22,Retail and Recreation,-0.49,Retail and Recreation,TRUE
2020-03-22,Workplace,-0.31,Workplace,TRUE
2020-03-22,Residential,0.09,Residential,TRUE
2020-03-23,Retail and Recreation,-0.28,Retail and Recreation,FALSE
2020-03-23,Workplace,-0.32,Workplace,FALSE
2020-03-23,Residential,0.13,Residential,FALSE
2020-03-24,Retail and Recreation,-0.34,Retail and Recreation,FALSE
2020-03-24,Workplace,-0.375,Workplace,FALSE
2020-03-24,Residential,0.155,Residential,FALSE
2020-03-25,Retail and Recreation,-0.445,Retail and Recreation,FALSE
2020-03-25,Workplace,-0.43,Workplace,FALSE
2020-03-25,Residential,0.18,Residential,FALSE
2020-03-26,Retail and Recreation,-0.43,Retail and Recreation,FALSE
2020-03-26,Workplace,-0.44,Workplace,FALSE
2020-03-26,Residential,0.19,Residential,FALSE
2020-03-27,Retail and Recreation,-0.45,Retail and Recreation,FALSE
2020-03-27,Workplace,-0.45,Workplace,FALSE
2020-03-27,Residential,0.22,Residential,FALSE
2020-03-28,Retail and Recreation,-0.535,Retail and Recreation,TRUE
2020-03-28,Workplace,-0.35,Workplace,TRUE
2020-03-28,Residential,0.135,Residential,TRUE
2020-03-29,Retail and Recreation,-0.515,Retail and Recreation,TRUE
2020-03-29,Workplace,-0.36,Workplace,TRUE
2020-03-29,Residential,0.11,Residential,TRUE
2020-03-30,Retail and Recreation,-0.38,Retail and Recreation,FALSE
2020-03-30,Workplace,-0.43,Workplace,FALSE
2020-03-30,Residential,0.17,Residential,FALSE
2020-03-31,Retail and Recreation,-0.4,Retail and Recreation,FALSE
2020-03-31,Workplace,-0.44,Workplace,FALSE
2020-03-31,Residential,0.19,Residential,FALSE
2020-04-01,Retail and Recreation,-0.36,Retail and Recreation,FALSE
2020-04-01,Workplace,-0.45,Workplace,FALSE
2020-04-01,Residential,0.19,Residential,FALSE
2020-04-02,Retail and Recreation,-0.35,Retail and Recreation,FALSE
2020-04-02,Workplace,-0.45,Workplace,FALSE
2020-04-02,Residential,0.19,Residential,FALSE
2020-04-03,Retail and Recreation,-0.36,Retail and Recreation,FALSE
2020-04-03,Workplace,-0.47,Workplace,FALSE
2020-04-03,Residential,0.2,Residential,FALSE
2020-04-04,Retail and Recreation,-0.5,Retail and Recreation,TRUE
2020-04-04,Workplace,-0.36,Workplace,TRUE
2020-04-04,Residential,0.13,Residential,TRUE
2020-04-05,Retail and Recreation,-0.47,Retail and Recreation,TRUE
2020-04-05,Workplace,-0.38,Workplace,TRUE
2020-04-05,Residential,0.1,Residential,TRUE
2020-04-06,Retail and Recreation,-0.34,Retail and Recreation,FALSE
2020-04-06,Workplace,-0.45,Workplace,FALSE
2020-04-06,Residential,0.18,Residential,FALSE
2020-04-07,Retail and Recreation,-0.35,Retail and Recreation,FALSE
