end_date,median_age,weekly_tests,weekly_deaths
Mar 21,53.125,6200,14
Mar 28,54.4190871369295,13236,44
Apr 04,53.2100840336135,16530,154
Apr 11,53.5481586402266,18057,209
Apr 18,52.3833333333333,23550,244
Apr 25,50.2048558421851,27206,291
May 02,48.6,38373,285
May 09,44.7752808988764,42984,255
May 16,45.9359190556492,51031,247
May 23,42.6340694006309,50953,218
May 30,42.5966850828729,43461,138
Jun 06,41.8354430379747,49973,139
Jun 13,43.5061728395062,64567,118
Jun 20,41.3734939759036,76845,114
Jun 27,39.4431279620853,71227,79
Jul 04,38.9244851258581,61088,66
Jul 11,37.1501014198783,74181,74
Jul 18,36.9225352112676,93153,66
Jul 25,37.787610619469,96236,78
Aug 01,39.0033783783784,96088,74
Aug 08,39.3993993993994,111700,75
Aug 15,38.0425531914894,126931,94
Aug 22,35.2933333333333,149171,95
Aug 29,32.0993377483444,123688,78
Sep 05,31.3286713286713,126576,70
Sep 12,31.9488817891374,133043,82
Sep 19,35.3980699638118,144688,88
Sep 26,39.1582278481013,149810,100
Oct 03,42.220695970696,160119,125
Oct 10,43.9214232765011,180469,129
Oct 17,43.9910813823857,187942,194
Oct 24,43.8193489225126,207115,208
Oct 31,42.7811144477811,236285,271
Nov 07,41.1308152924919,280584,324
Nov 14,40.9629044988161,329396,364
Nov 21,41.0078379177758,367669,509
Nov 28,42.3343932167462,270548,587
Dec 05,41.6956636351654,332385,639
Dec 12,40.7761327949753,317500,717
Dec 19,41.797342192691,298507,705
Dec 26,42.7291666666667,229207,638
Jan 02,42.7769957771969,239116,693
Jan 09,40.4479768786127,297966,582
Jan 16,40.1570813275906,291091,500
Jan 23,40.5886200130805,263865,457
Jan 30,40.1696006869901,247090,386
Feb 06,39.6518836433,236585,305
Feb 13,37.6707404744788,238225,194
Feb 20,37.8564102564103,197010,162
Feb 27,35.9753483386924,211232,122
Mar 06,36.4678899082569,202469,110
Mar 13,34.8483146067416,190677,86
Mar 20,34.8806818181818,186936,64
Mar 27,35.2444870565676,181129,55
Apr 03,34.5173267326733,178838,55
Apr 10,34.247009148487,183791,47
Apr 17,33.8327205882353,191668,67
Apr 24,33.4402566158781,183146,46
May 01,33.7491190979563,180388,63
May 08,33.6811023622047,159451,64
May 15,34.2527040314651,132516,68
May 22,34.7488317757009,117836,73
May 29,36.7249240121581,98040,69
Jun 05,36.2985865724382,84629,66
Jun 12,38.7048192771084,82481,53
Jun 19,42.322695035461,71879,40
Jun 26,38.734693877551,68711,42
Jul 03,37.0892857142857,60422,32
Jul 10,36.9845360824742,60543,32
Jul 17,36.0603715170279,71358,23
Jul 24,36.311084624553,84480,24
Jul 31,36.188155922039,106051,47
Aug 07,35.7710960232784,144062,65
Aug 14,34.1666666666667,186821,94
Aug 21,32.2051495016611,247265,150
Aug 28,31.5216917375191,278114,174
Sep 04,33.3498106857383,277934,202
Sep 11,34.60092272203,251705,271
Sep 18,35.8272567261755,252602,296
Sep 25,35.7676286819399,222268,296
Oct 02,36.3340336134454,205600,254
Oct 09,36.7763904653803,191406,232
Oct 16,37.515165655623,165371,182
